,[0 0 0 0],[0 0 0 1],[0 0 1 0],[0 0 1 1],[0 1 0 0],[0 1 0 1],[0 1 1 0],[0 1 1 1],[1 0 0 0],[1 0 0 1],[1 0 1 0],[1 0 1 1],[1 1 0 0],[1 1 0 1],[1 1 1 0],[1 1 1 1]
[0 0 0 0],1.0,0.062,0.353,0.286,0.429,0.348,0.389,0.4,0.5,0.286,0.421,0.375,0.429,0.375,0.389,0.5
[0 0 0 1],0.938,1.0,0.545,0.364,0.727,0.5,0.545,0.5,0.909,0.5,0.583,0.462,0.7,0.5,0.5,0.611
[0 0 1 0],0.647,0.455,1.0,0.438,0.4,0.385,0.5,0.526,0.538,0.5,0.5,0.471,0.5,0.5,0.5,0.625
[0 0 1 1],0.714,0.636,0.562,1.0,0.6,0.571,0.364,0.4,0.625,0.636,0.533,0.5,0.5,0.5,0.3,0.571
[0 1 0 0],0.571,0.273,0.6,0.4,1.0,0.5,0.538,0.526,0.4,0.333,0.667,0.5,0.5,0.529,0.538,0.625
[0 1 0 1],0.652,0.5,0.615,0.429,0.5,1.0,0.462,0.467,0.556,0.5,0.5,0.333,0.467,0.5,0.417,0.579
[0 1 1 0],0.611,0.455,0.5,0.636,0.462,0.538,1.0,0.625,0.5,0.5,0.5,0.667,0.364,0.5,0.5,0.714
[0 1 1 1],0.6,0.5,0.474,0.6,0.474,0.533,0.375,1.0,0.5,0.5,0.444,0.6,0.375,0.462,0.091,0.5
[1 0 0 0],0.5,0.091,0.462,0.375,0.6,0.444,0.5,0.5,1.0,0.375,0.533,0.474,0.6,0.474,0.5,0.6
[1 0 0 1],0.714,0.5,0.5,0.364,0.667,0.5,0.5,0.5,0.625,1.0,0.538,0.462,0.636,0.5,0.455,0.611
[1 0 1 0],0.579,0.417,0.5,0.467,0.333,0.5,0.5,0.556,0.467,0.462,1.0,0.5,0.429,0.615,0.5,0.652
[1 0 1 1],0.625,0.538,0.529,0.5,0.5,0.667,0.333,0.4,0.526,0.538,0.5,1.0,0.4,0.6,0.273,0.571
[1 1 0 0],0.571,0.3,0.5,0.5,0.5,0.533,0.636,0.625,0.4,0.364,0.571,0.6,1.0,0.562,0.636,0.714
[1 1 0 1],0.625,0.5,0.5,0.5,0.471,0.5,0.5,0.538,0.526,0.5,0.385,0.4,0.438,1.0,0.455,0.647
[1 1 1 0],0.611,0.5,0.5,0.7,0.462,0.583,0.5,0.909,0.5,0.545,0.5,0.727,0.364,0.545,1.0,0.938
[1 1 1 1],0.5,0.389,0.375,0.429,0.375,0.421,0.286,0.5,0.4,0.389,0.348,0.429,0.286,0.353,0.062,1.0
