,[0 0 0 0 0],[0 0 0 0 1],[0 0 0 1 0],[0 0 0 1 1],[0 0 1 0 0],[0 0 1 0 1],[0 0 1 1 0],[0 0 1 1 1],[0 1 0 0 0],[0 1 0 0 1],[0 1 0 1 0],[0 1 0 1 1],[0 1 1 0 0],[0 1 1 0 1],[0 1 1 1 0],[0 1 1 1 1],[1 0 0 0 0],[1 0 0 0 1],[1 0 0 1 0],[1 0 0 1 1],[1 0 1 0 0],[1 0 1 0 1],[1 0 1 1 0],[1 0 1 1 1],[1 1 0 0 0],[1 1 0 0 1],[1 1 0 1 0],[1 1 0 1 1],[1 1 1 0 0],[1 1 1 0 1],[1 1 1 1 0],[1 1 1 1 1]
[0 0 0 0 0],1.0,0.031,0.297,0.244,0.389,0.311,0.35,0.34,0.429,0.311,0.409,0.34,0.389,0.354,0.366,0.415,0.5,0.244,0.366,0.326,0.389,0.38,0.381,0.38,0.429,0.326,0.381,0.38,0.389,0.367,0.366,0.5
[0 0 0 0 1],0.969,1.0,0.478,0.348,0.64,0.462,0.52,0.464,0.783,0.5,0.586,0.464,0.625,0.5,0.52,0.545,0.957,0.5,0.538,0.444,0.625,0.533,0.538,0.5,0.773,0.5,0.538,0.5,0.609,0.5,0.5,0.634
[0 0 0 1 0],0.703,0.522,1.0,0.438,0.409,0.32,0.5,0.486,0.542,0.444,0.5,0.419,0.519,0.485,0.5,0.55,0.621,0.542,0.5,0.455,0.458,0.469,0.5,0.5,0.577,0.5,0.5,0.5,0.519,0.5,0.5,0.633
[0 0 0 1 1],0.756,0.652,0.562,1.0,0.613,0.533,0.391,0.364,0.655,0.571,0.576,0.5,0.52,0.481,0.417,0.5,0.688,0.652,0.548,0.5,0.571,0.562,0.462,0.462,0.615,0.538,0.5,0.5,0.5,0.481,0.391,0.611
[0 0 1 0 0],0.611,0.36,0.591,0.387,1.0,0.438,0.483,0.457,0.364,0.333,0.581,0.457,0.5,0.486,0.5,0.537,0.5,0.385,0.591,0.406,0.5,0.514,0.516,0.5,0.462,0.448,0.552,0.5,0.5,0.5,0.5,0.62
[0 0 1 0 1],0.689,0.538,0.68,0.467,0.562,1.0,0.517,0.484,0.562,0.538,0.478,0.304,0.517,0.5,0.481,0.529,0.611,0.538,0.667,0.467,0.481,0.5,0.462,0.448,0.548,0.538,0.5,0.448,0.5,0.5,0.462,0.619
[0 0 1 1 0],0.65,0.48,0.5,0.609,0.517,0.483,1.0,0.531,0.517,0.519,0.533,0.536,0.364,0.4,0.5,0.595,0.562,0.5,0.5,0.625,0.481,0.531,0.5,0.545,0.481,0.5,0.462,0.552,0.462,0.5,0.5,0.674
[0 0 1 1 1],0.66,0.536,0.514,0.636,0.543,0.516,0.469,1.0,0.543,0.552,0.528,0.538,0.484,0.5,0.261,0.4,0.579,0.536,0.5,0.636,0.5,0.545,0.452,0.5,0.5,0.519,0.452,0.538,0.385,0.423,0.227,0.571
[0 1 0 0 0],0.571,0.217,0.458,0.345,0.636,0.438,0.483,0.457,1.0,0.438,0.581,0.457,0.538,0.486,0.5,0.537,0.4,0.25,0.536,0.441,0.636,0.514,0.516,0.5,0.5,0.455,0.552,0.5,0.538,0.5,0.5,0.62
[0 1 0 0 1],0.689,0.5,0.556,0.429,0.667,0.462,0.481,0.448,0.562,1.0,0.586,0.448,0.556,0.5,0.481,0.529,0.611,0.5,0.455,0.333,0.652,0.533,0.5,0.484,0.548,0.5,0.538,0.484,0.538,0.5,0.462,0.619
[0 1 0 1 0],0.591,0.414,0.5,0.424,0.419,0.522,0.467,0.472,0.419,0.414,1.0,0.406,0.438,0.516,0.467,0.537,0.5,0.433,0.5,0.441,0.28,0.5,0.467,0.486,0.455,0.469,0.5,0.486,0.438,0.531,0.467,0.62
[0 1 0 1 1],0.66,0.536,0.581,0.5,0.543,0.696,0.464,0.462,0.543,0.552,0.594,1.0,0.448,0.542,0.4,0.5,0.579,0.536,0.567,0.5,0.5,0.72,0.348,0.364,0.5,0.519,0.519,0.5,0.429,0.542,0.375,0.611
[0 1 1 0 0],0.611,0.375,0.481,0.48,0.5,0.483,0.636,0.516,0.462,0.444,0.562,0.552,1.0,0.531,0.556,0.595,0.5,0.4,0.481,0.5,0.5,0.559,0.667,0.559,0.364,0.375,0.533,0.594,0.5,0.545,0.556,0.674
[0 1 1 0 1],0.646,0.5,0.515,0.519,0.514,0.5,0.6,0.5,0.514,0.5,0.484,0.458,0.469,1.0,0.481,0.545,0.564,0.5,0.5,0.519,0.433,0.5,0.545,0.464,0.5,0.5,0.333,0.409,0.452,0.5,0.462,0.634
[0 1 1 1 0],0.634,0.48,0.5,0.583,0.5,0.519,0.5,0.739,0.5,0.519,0.533,0.6,0.444,0.519,1.0,0.688,0.545,0.5,0.5,0.6,0.464,0.567,0.5,0.75,0.464,0.5,0.462,0.615,0.348,0.458,0.5,0.756
[0 1 1 1 1],0.585,0.455,0.45,0.5,0.463,0.471,0.405,0.6,0.463,0.471,0.463,0.5,0.405,0.455,0.312,1.0,0.5,0.455,0.436,0.5,0.421,0.5,0.389,0.6,0.421,0.438,0.389,0.5,0.312,0.379,0.043,0.5
[1 0 0 0 0],0.5,0.043,0.379,0.312,0.5,0.389,0.438,0.421,0.6,0.389,0.5,0.421,0.5,0.436,0.455,0.5,1.0,0.312,0.455,0.405,0.5,0.463,0.471,0.463,0.6,0.405,0.471,0.463,0.5,0.45,0.455,0.585
[1 0 0 0 1],0.756,0.5,0.458,0.348,0.615,0.462,0.5,0.464,0.75,0.5,0.567,0.464,0.6,0.5,0.5,0.545,0.688,1.0,0.519,0.444,0.6,0.533,0.519,0.5,0.739,0.5,0.519,0.5,0.583,0.5,0.48,0.634
[1 0 0 1 0],0.634,0.462,0.5,0.452,0.409,0.333,0.5,0.5,0.464,0.545,0.5,0.433,0.519,0.5,0.5,0.564,0.545,0.481,1.0,0.469,0.458,0.484,0.5,0.514,0.5,0.6,0.5,0.514,0.519,0.515,0.5,0.646
[1 0 0 1 1],0.674,0.556,0.545,0.5,0.594,0.533,0.375,0.364,0.559,0.667,0.559,0.5,0.5,0.481,0.4,0.5,0.595,0.556,0.531,1.0,0.552,0.562,0.444,0.462,0.516,0.636,0.483,0.5,0.48,0.481,0.375,0.611
[1 0 1 0 0],0.611,0.375,0.542,0.429,0.5,0.519,0.519,0.5,0.364,0.348,0.72,0.5,0.5,0.567,0.536,0.579,0.5,0.4,0.542,0.448,1.0,0.594,0.552,0.543,0.462,0.464,0.696,0.543,0.5,0.581,0.536,0.66
[1 0 1 0 1],0.62,0.467,0.531,0.438,0.486,0.5,0.469,0.455,0.486,0.467,0.5,0.28,0.441,0.5,0.433,0.5,0.537,0.467,0.516,0.438,0.406,1.0,0.414,0.419,0.472,0.467,0.522,0.419,0.424,0.5,0.414,0.591
[1 0 1 1 0],0.619,0.462,0.5,0.538,0.484,0.538,0.5,0.548,0.484,0.5,0.533,0.652,0.333,0.455,0.5,0.611,0.529,0.481,0.5,0.556,0.448,0.586,1.0,0.562,0.448,0.481,0.462,0.667,0.429,0.556,0.5,0.689
[1 0 1 1 1],0.62,0.5,0.5,0.538,0.5,0.552,0.455,0.5,0.5,0.516,0.514,0.636,0.441,0.536,0.25,0.4,0.537,0.5,0.486,0.538,0.457,0.581,0.438,1.0,0.457,0.483,0.438,0.636,0.345,0.458,0.217,0.571
[1 1 0 0 0],0.571,0.227,0.423,0.385,0.538,0.452,0.519,0.5,0.5,0.452,0.545,0.5,0.636,0.5,0.536,0.579,0.4,0.261,0.5,0.484,0.538,0.528,0.552,0.543,1.0,0.469,0.516,0.543,0.636,0.514,0.536,0.66
[1 1 0 0 1],0.674,0.5,0.5,0.462,0.552,0.462,0.5,0.481,0.545,0.5,0.531,0.481,0.625,0.5,0.5,0.562,0.595,0.5,0.4,0.364,0.536,0.533,0.519,0.517,0.531,1.0,0.483,0.517,0.609,0.5,0.48,0.65
[1 1 0 1 0],0.619,0.462,0.5,0.5,0.448,0.5,0.538,0.548,0.448,0.462,0.5,0.481,0.467,0.667,0.538,0.611,0.529,0.481,0.5,0.517,0.304,0.478,0.538,0.562,0.484,0.517,1.0,0.562,0.467,0.68,0.538,0.689
[1 1 0 1 1],0.62,0.5,0.5,0.5,0.5,0.552,0.448,0.462,0.5,0.516,0.514,0.5,0.406,0.591,0.385,0.5,0.537,0.5,0.486,0.5,0.457,0.581,0.333,0.364,0.457,0.483,0.438,1.0,0.387,0.591,0.36,0.611
[1 1 1 0 0],0.611,0.391,0.481,0.5,0.5,0.5,0.538,0.615,0.462,0.462,0.562,0.571,0.5,0.548,0.652,0.688,0.5,0.417,0.481,0.52,0.5,0.576,0.571,0.655,0.364,0.391,0.533,0.613,1.0,0.562,0.652,0.756
[1 1 1 0 1],0.633,0.5,0.5,0.519,0.5,0.5,0.5,0.577,0.5,0.5,0.469,0.458,0.455,0.5,0.542,0.621,0.55,0.5,0.485,0.519,0.419,0.5,0.444,0.542,0.486,0.5,0.32,0.409,0.438,1.0,0.522,0.703
