,[0 0 0 0 0 0],[0 0 0 0 0 1],[0 0 0 0 1 0],[0 0 0 0 1 1],[0 0 0 1 0 0],[0 0 0 1 0 1],[0 0 0 1 1 0],[0 0 0 1 1 1],[0 0 1 0 0 0],[0 0 1 0 0 1],[0 0 1 0 1 0],[0 0 1 0 1 1],[0 0 1 1 0 0],[0 0 1 1 0 1],[0 0 1 1 1 0],[0 0 1 1 1 1],[0 1 0 0 0 0],[0 1 0 0 0 1],[0 1 0 0 1 0],[0 1 0 0 1 1],[0 1 0 1 0 0],[0 1 0 1 0 1],[0 1 0 1 1 0],[0 1 0 1 1 1],[0 1 1 0 0 0],[0 1 1 0 0 1],[0 1 1 0 1 0],[0 1 1 0 1 1],[0 1 1 1 0 0],[0 1 1 1 0 1],[0 1 1 1 1 0],[0 1 1 1 1 1],[1 0 0 0 0 0],[1 0 0 0 0 1],[1 0 0 0 1 0],[1 0 0 0 1 1],[1 0 0 1 0 0],[1 0 0 1 0 1],[1 0 0 1 1 0],[1 0 0 1 1 1],[1 0 1 0 0 0],[1 0 1 0 0 1],[1 0 1 0 1 0],[1 0 1 0 1 1],[1 0 1 1 0 0],[1 0 1 1 0 1],[1 0 1 1 1 0],[1 0 1 1 1 1],[1 1 0 0 0 0],[1 1 0 0 0 1],[1 1 0 0 1 0],[1 1 0 0 1 1],[1 1 0 1 0 0],[1 1 0 1 0 1],[1 1 0 1 1 0],[1 1 0 1 1 1],[1 1 1 0 0 0],[1 1 1 0 0 1],[1 1 1 0 1 0],[1 1 1 0 1 1],[1 1 1 1 0 0],[1 1 1 1 0 1],[1 1 1 1 1 0],[1 1 1 1 1 1]
[0 0 0 0 0 0],1.0,0.016,0.26,0.222,0.35,0.292,0.321,0.308,0.389,0.323,0.367,0.323,0.366,0.33,0.345,0.364,0.429,0.292,0.367,0.323,0.366,0.382,0.36,0.351,0.389,0.33,0.36,0.364,0.366,0.351,0.352,0.422,0.5,0.222,0.329,0.3,0.381,0.33,0.352,0.344,0.389,0.33,0.406,0.344,0.366,0.364,0.36,0.382,0.429,0.3,0.352,0.344,0.366,0.364,0.374,0.37,0.389,0.337,0.36,0.37,0.366,0.357,0.352,0.5
[0 0 0 0 0 1],0.984,1.0,0.426,0.34,0.566,0.444,0.491,0.446,0.667,0.5,0.542,0.466,0.574,0.483,0.509,0.508,0.809,0.5,0.542,0.466,0.574,0.545,0.526,0.492,0.66,0.5,0.526,0.508,0.566,0.5,0.509,0.569,0.979,0.5,0.5,0.436,0.589,0.483,0.518,0.483,0.66,0.5,0.578,0.483,0.566,0.516,0.518,0.523,0.804,0.5,0.518,0.483,0.566,0.516,0.534,0.508,0.653,0.5,0.518,0.508,0.558,0.5,0.5,0.648
[0 0 0 0 1 0],0.74,0.574,1.0,0.453,0.391,0.306,0.5,0.478,0.52,0.439,0.462,0.407,0.525,0.477,0.5,0.514,0.615,0.491,0.5,0.444,0.472,0.493,0.483,0.47,0.564,0.492,0.5,0.5,0.517,0.493,0.5,0.568,0.672,0.583,0.5,0.462,0.481,0.414,0.5,0.485,0.538,0.467,0.533,0.453,0.509,0.5,0.5,0.521,0.63,0.517,0.5,0.485,0.491,0.485,0.516,0.507,0.564,0.5,0.5,0.507,0.517,0.5,0.5,0.643
[0 0 0 0 1 1],0.778,0.66,0.547,1.0,0.587,0.516,0.383,0.348,0.627,0.548,0.554,0.5,0.509,0.455,0.442,0.464,0.684,0.571,0.554,0.5,0.559,0.565,0.5,0.483,0.585,0.509,0.5,0.5,0.509,0.483,0.453,0.545,0.719,0.66,0.54,0.5,0.581,0.516,0.463,0.444,0.607,0.533,0.574,0.5,0.519,0.508,0.473,0.5,0.667,0.556,0.517,0.5,0.536,0.524,0.491,0.483,0.577,0.509,0.491,0.5,0.5,0.483,0.442,0.634
[0 0 0 1 0 0],0.65,0.434,0.609,0.413,1.0,0.438,0.475,0.448,0.364,0.32,0.524,0.448,0.5,0.463,0.484,0.493,0.481,0.423,0.509,0.393,0.5,0.52,0.5,0.479,0.5,0.46,0.516,0.493,0.5,0.486,0.492,0.554,0.562,0.444,0.609,0.422,0.5,0.446,0.475,0.456,0.462,0.424,0.565,0.471,0.5,0.5,0.5,0.513,0.517,0.474,0.527,0.456,0.5,0.5,0.515,0.5,0.5,0.469,0.516,0.5,0.5,0.493,0.492,0.63
[0 0 0 1 0 1],0.708,0.556,0.694,0.484,0.562,1.0,0.525,0.492,0.581,0.533,0.426,0.319,0.541,0.5,0.508,0.515,0.594,0.556,0.596,0.475,0.472,0.5,0.453,0.429,0.559,0.517,0.509,0.484,0.517,0.5,0.491,0.562,0.639,0.556,0.688,0.484,0.556,0.5,0.517,0.492,0.544,0.5,0.518,0.396,0.5,0.5,0.482,0.5,0.587,0.556,0.574,0.492,0.5,0.5,0.5,0.484,0.552,0.517,0.5,0.484,0.509,0.5,0.482,0.64
[0 0 0 1 1 0],0.679,0.509,0.5,0.617,0.525,0.475,1.0,0.5,0.542,0.508,0.516,0.5,0.37,0.347,0.5,0.536,0.557,0.527,0.516,0.536,0.5,0.536,0.5,0.508,0.481,0.455,0.444,0.492,0.491,0.492,0.5,0.59,0.603,0.519,0.5,0.625,0.525,0.484,0.5,0.508,0.526,0.5,0.545,0.508,0.442,0.467,0.5,0.543,0.542,0.519,0.483,0.544,0.482,0.5,0.5,0.515,0.518,0.5,0.483,0.531,0.491,0.5,0.5,0.663
[0 0 0 1 1 1],0.692,0.554,0.522,0.652,0.552,0.508,0.5,1.0,0.569,0.54,0.529,0.517,0.524,0.5,0.319,0.364,0.582,0.561,0.529,0.556,0.524,0.557,0.492,0.5,0.541,0.517,0.492,0.533,0.434,0.436,0.36,0.5,0.622,0.554,0.515,0.652,0.545,0.508,0.492,0.5,0.548,0.525,0.549,0.517,0.5,0.516,0.407,0.462,0.562,0.545,0.492,0.556,0.5,0.516,0.484,0.5,0.5,0.482,0.448,0.5,0.423,0.436,0.347,0.611
[0 0 1 0 0 0],0.611,0.333,0.48,0.373,0.636,0.419,0.458,0.431,1.0,0.469,0.524,0.448,0.517,0.463,0.484,0.493,0.364,0.292,0.559,0.448,0.556,0.52,0.5,0.479,0.5,0.477,0.516,0.493,0.517,0.486,0.492,0.554,0.5,0.346,0.48,0.383,0.667,0.463,0.492,0.471,0.5,0.477,0.565,0.471,0.517,0.5,0.5,0.513,0.462,0.404,0.544,0.471,0.556,0.5,0.515,0.5,0.5,0.485,0.516,0.5,0.517,0.493,0.492,0.63
[0 0 1 0 0 1],0.677,0.5,0.561,0.452,0.68,0.467,0.492,0.46,0.531,1.0,0.525,0.443,0.525,0.467,0.475,0.485,0.559,0.5,0.444,0.306,0.564,0.529,0.492,0.469,0.524,0.5,0.508,0.485,0.517,0.484,0.475,0.547,0.605,0.5,0.554,0.452,0.644,0.429,0.446,0.424,0.524,0.5,0.561,0.46,0.517,0.5,0.483,0.5,0.552,0.5,0.5,0.424,0.556,0.5,0.5,0.485,0.516,0.5,0.5,0.485,0.509,0.484,0.466,0.626
