,[0 0 0 0 0 0 0],[0 0 0 0 0 0 1],[0 0 0 0 0 1 0],[0 0 0 0 0 1 1],[0 0 0 0 1 0 0],[0 0 0 0 1 0 1],[0 0 0 0 1 1 0],[0 0 0 0 1 1 1],[0 0 0 1 0 0 0],[0 0 0 1 0 0 1],[0 0 0 1 0 1 0],[0 0 0 1 0 1 1],[0 0 0 1 1 0 0],[0 0 0 1 1 0 1],[0 0 0 1 1 1 0],[0 0 0 1 1 1 1],[0 0 1 0 0 0 0],[0 0 1 0 0 0 1],[0 0 1 0 0 1 0],[0 0 1 0 0 1 1],[0 0 1 0 1 0 0],[0 0 1 0 1 0 1],[0 0 1 0 1 1 0],[0 0 1 0 1 1 1],[0 0 1 1 0 0 0],[0 0 1 1 0 0 1],[0 0 1 1 0 1 0],[0 0 1 1 0 1 1],[0 0 1 1 1 0 0],[0 0 1 1 1 0 1],[0 0 1 1 1 1 0],[0 0 1 1 1 1 1],[0 1 0 0 0 0 0],[0 1 0 0 0 0 1],[0 1 0 0 0 1 0],[0 1 0 0 0 1 1],[0 1 0 0 1 0 0],[0 1 0 0 1 0 1],[0 1 0 0 1 1 0],[0 1 0 0 1 1 1],[0 1 0 1 0 0 0],[0 1 0 1 0 0 1],[0 1 0 1 0 1 0],[0 1 0 1 0 1 1],[0 1 0 1 1 0 0],[0 1 0 1 1 0 1],[0 1 0 1 1 1 0],[0 1 0 1 1 1 1],[0 1 1 0 0 0 0],[0 1 1 0 0 0 1],[0 1 1 0 0 1 0],[0 1 1 0 0 1 1],[0 1 1 0 1 0 0],[0 1 1 0 1 0 1],[0 1 1 0 1 1 0],[0 1 1 0 1 1 1],[0 1 1 1 0 0 0],[0 1 1 1 0 0 1],[0 1 1 1 0 1 0],[0 1 1 1 0 1 1],[0 1 1 1 1 0 0],[0 1 1 1 1 0 1],[0 1 1 1 1 1 0],[0 1 1 1 1 1 1],[1 0 0 0 0 0 0],[1 0 0 0 0 0 1],[1 0 0 0 0 1 0],[1 0 0 0 0 1 1],[1 0 0 0 1 0 0],[1 0 0 0 1 0 1],[1 0 0 0 1 1 0],[1 0 0 0 1 1 1],[1 0 0 1 0 0 0],[1 0 0 1 0 0 1],[1 0 0 1 0 1 0],[1 0 0 1 0 1 1],[1 0 0 1 1 0 0],[1 0 0 1 1 0 1],[1 0 0 1 1 1 0],[1 0 0 1 1 1 1],[1 0 1 0 0 0 0],[1 0 1 0 0 0 1],[1 0 1 0 0 1 0],[1 0 1 0 0 1 1],[1 0 1 0 1 0 0],[1 0 1 0 1 0 1],[1 0 1 0 1 1 0],[1 0 1 0 1 1 1],[1 0 1 1 0 0 0],[1 0 1 1 0 0 1],[1 0 1 1 0 1 0],[1 0 1 1 0 1 1],[1 0 1 1 1 0 0],[1 0 1 1 1 0 1],[1 0 1 1 1 1 0],[1 0 1 1 1 1 1],[1 1 0 0 0 0 0],[1 1 0 0 0 0 1],[1 1 0 0 0 1 0],[1 1 0 0 0 1 1],[1 1 0 0 1 0 0],[1 1 0 0 1 0 1],[1 1 0 0 1 1 0],[1 1 0 0 1 1 1],[1 1 0 1 0 0 0],[1 1 0 1 0 0 1],[1 1 0 1 0 1 0],[1 1 0 1 0 1 1],[1 1 0 1 1 0 0],[1 1 0 1 1 0 1],[1 1 0 1 1 1 0],[1 1 0 1 1 1 1],[1 1 1 0 0 0 0],[1 1 1 0 0 0 1],[1 1 1 0 0 1 0],[1 1 1 0 0 1 1],[1 1 1 0 1 0 0],[1 1 1 0 1 0 1],[1 1 1 0 1 1 0],[1 1 1 0 1 1 1],[1 1 1 1 0 0 0],[1 1 1 1 0 0 1],[1 1 1 1 0 1 0],[1 1 1 1 0 1 1],[1 1 1 1 1 0 0],[1 1 1 1 1 0 1],[1 1 1 1 1 1 0],[1 1 1 1 1 1 1]
[0 0 0 0 0 0 0],1.0,0.008,0.236,0.211,0.321,0.282,0.302,0.291,0.366,0.314,0.341,0.314,0.345,0.317,0.33,0.335,0.389,0.314,0.362,0.321,0.352,0.352,0.344,0.335,0.366,0.332,0.344,0.342,0.352,0.335,0.341,0.374,0.429,0.282,0.341,0.314,0.374,0.332,0.344,0.335,0.366,0.332,0.403,0.335,0.352,0.349,0.348,0.355,0.389,0.317,0.344,0.342,0.352,0.349,0.368,0.349,0.366,0.335,0.348,0.355,0.352,0.345,0.344,0.425,0.5,0.211,0.306,0.287,0.352,0.317,0.333,0.324,0.366,0.345,0.355,0.332,0.36,0.335,0.344,0.352,0.389,0.317,0.355,0.332,0.352,0.392,0.351,0.345,0.366,0.335,0.351,0.365,0.352,0.352,0.348,0.383,0.429,0.287,0.333,0.324,0.36,0.335,0.351,0.345,0.366,0.335,0.372,0.345,0.352,0.365,0.355,0.365,0.389,0.321,0.344,0.345,0.352,0.352,0.355,0.365,0.366,0.339,0.348,0.359,0.352,0.349,0.344,0.5
[0 0 0 0 0 0 1],0.992,1.0,0.389,0.337,0.514,0.436,0.468,0.438,0.595,0.483,0.513,0.466,0.535,0.475,0.496,0.488,0.68,0.5,0.536,0.475,0.543,0.516,0.513,0.488,0.591,0.5,0.513,0.496,0.539,0.492,0.504,0.53,0.821,0.5,0.513,0.466,0.566,0.492,0.513,0.488,0.591,0.5,0.577,0.488,0.539,0.508,0.513,0.508,0.676,0.5,0.513,0.496,0.539,0.508,0.536,0.5,0.587,0.5,0.513,0.508,0.535,0.5,0.504,0.583,0.989,0.5,0.473,0.432,0.543,0.475,0.5,0.475,0.591,0.516,0.525,0.484,0.547,0.492,0.508,0.504,0.676,0.5,0.525,0.484,0.539,0.557,0.517,0.496,0.587,0.5,0.517,0.519,0.535,0.508,0.508,0.537,0.819,0.5,0.5,0.475,0.547,0.492,0.517,0.496,0.587,0.5,0.54,0.496,0.535,0.523,0.517,0.515,0.673,0.5,0.508,0.496,0.535,0.508,0.517,0.515,0.583,0.5,0.508,0.508,0.531,0.5,0.5,0.656
[0 0 0 0 0 1 0],0.764,0.611,1.0,0.469,0.372,0.309,0.5,0.481,0.5,0.425,0.444,0.409,0.52,0.481,0.5,0.5,0.575,0.479,0.5,0.447,0.478,0.472,0.475,0.46,0.547,0.496,0.5,0.493,0.516,0.489,0.5,0.531,0.657,0.523,0.5,0.465,0.504,0.446,0.492,0.477,0.523,0.472,0.545,0.46,0.5,0.489,0.492,0.496,0.595,0.504,0.5,0.493,0.5,0.489,0.523,0.496,0.543,0.496,0.5,0.504,0.512,0.496,0.5,0.58,0.704,0.615,0.5,0.473,0.464,0.412,0.5,0.485,0.518,0.484,0.483,0.452,0.52,0.485,0.5,0.504,0.583,0.492,0.5,0.469,0.487,0.528,0.492,0.481,0.539,0.492,0.5,0.511,0.508,0.5,0.5,0.534,0.664,0.535,0.5,0.485,0.496,0.46,0.508,0.496,0.531,0.484,0.516,0.481,0.508,0.514,0.508,0.514,0.595,0.508,0.5,0.496,0.5,0.492,0.508,0.514,0.543,0.5,0.5,0.507,0.512,0.5,0.5,0.651
[0 0 0 0 0 1 1],0.789,0.663,0.531,1.0,0.559,0.508,0.368,0.34,0.593,0.524,0.535,0.5,0.486,0.441,0.444,0.446,0.635,0.541,0.549,0.5,0.545,0.534,0.508,0.492,0.55,0.496,0.492,0.483,0.504,0.475,0.469,0.508,0.699,0.571,0.535,0.5,0.566,0.512,0.492,0.475,0.573,0.52,0.577,0.5,0.521,0.508,0.496,0.5,0.615,0.521,0.508,0.5,0.521,0.508,0.512,0.483,0.55,0.5,0.496,0.5,0.504,0.488,0.474,0.569,0.734,0.663,0.528,0.5,0.556,0.508,0.455,0.436,0.576,0.538,0.531,0.5,0.517,0.479,0.478,0.483,0.625,0.533,0.531,0.5,0.533,0.566,0.504,0.492,0.554,0.504,0.504,0.516,0.509,0.5,0.483,0.523,0.691,0.564,0.516,0.5,0.541,0.504,0.487,0.475,0.561,0.512,0.535,0.5,0.509,0.516,0.492,0.5,0.611,0.521,0.504,0.5,0.517,0.508,0.492,0.5,0.545,0.5,0.492,0.5,0.5,0.488,0.469,0.648
[0 0 0 0 1 0 0],0.679,0.486,0.628,0.441,1.0,0.453,0.48,0.458,0.37,0.306,0.504,0.458,0.5,0.466,0.484,0.482,0.481,0.418,0.478,0.393,0.5,0.496,0.492,0.474,0.508,0.473,0.5,0.482,0.5,0.478,0.488,0.517,0.542,0.481,0.532,0.432,0.5,0.449,0.467,0.45,0.491,0.456,0.562,0.474,0.5,0.493,0.496,0.496,0.534,0.48,0.508,0.474,0.5,0.493,0.519,0.489,0.508,0.477,0.504,0.496,0.5,0.489,0.492,0.57,0.603,0.491,0.628,0.445,0.5,0.457,0.48,0.462,0.442,0.429,0.504,0.462,0.5,0.47,0.484,0.486,0.518,0.462,0.504,0.445,0.5,0.539,0.5,0.486,0.508,0.477,0.508,0.507,0.5,0.496,0.496,0.527,0.557,0.504,0.541,0.462,0.5,0.47,0.492,0.478,0.491,0.46,0.53,0.486,0.5,0.51,0.504,0.507,0.534,0.484,0.508,0.478,0.5,0.496,0.504,0.507,0.508,0.481,0.504,0.5,0.5,0.493,0.492,0.641
[0 0 0 0 1 0 1],0.718,0.564,0.691,0.492,0.547,1.0,0.52,0.496,0.571,0.516,0.389,0.326,0.536,0.5,0.512,0.508,0.59,0.533,0.568,0.488,0.468,0.462,0.45,0.429,0.554,0.516,0.513,0.492,0.525,0.5,0.504,0.533,0.609,0.564,0.593,0.488,0.55,0.5,0.512,0.492,0.522,0.483,0.536,0.429,0.491,0.483,0.478,0.48,0.58,0.525,0.538,0.5,0.508,0.5,0.52,0.488,0.542,0.508,0.504,0.496,0.513,0.5,0.496,0.579,0.653,0.564,0.688,0.492,0.543,0.5,0.516,0.496,0.554,0.531,0.473,0.423,0.532,0.5,0.508,0.508,0.573,0.517,0.542,0.48,0.482,0.533,0.474,0.458,0.534,0.5,0.5,0.5,0.504,0.5,0.492,0.526,0.606,0.564,0.582,0.496,0.532,0.5,0.516,0.5,0.534,0.5,0.508,0.458,0.504,0.516,0.5,0.504,0.576,0.525,0.534,0.5,0.504,0.5,0.5,0.504,0.538,0.508,0.5,0.496,0.508,0.5,0.492,0.652
[0 0 0 0 1 1 0],0.698,0.532,0.5,0.632,0.52,0.48,1.0,0.492,0.545,0.496,0.508,0.492,0.362,0.33,0.5,0.511,0.563,0.512,0.523,0.508,0.508,0.511,0.5,0.496,0.472,0.442,0.436,0.452,0.504,0.488,0.5,0.542,0.584,0.541,0.508,0.545,0.531,0.488,0.5,0.496,0.525,0.496,0.557,0.496,0.478,0.48,0.5,0.515,0.536,0.487,0.475,0.504,0.478,0.48,0.5,0.484,0.521,0.496,0.492,0.515,0.5,0.496,0.5,0.591,0.629,0.536,0.5,0.635,0.52,0.484,0.5,0.496,0.529,0.515,0.508,0.496,0.455,0.43,0.5,0.515,0.556,0.508,0.508,0.512,0.5,0.549,0.5,0.5,0.5,0.475,0.475,0.508,0.496,0.5,0.5,0.545,0.577,0.536,0.492,0.549,0.508,0.484,0.5,0.5,0.517,0.492,0.516,0.5,0.469,0.492,0.5,0.519,0.552,0.508,0.492,0.524,0.496,0.5,0.5,0.519,0.521,0.5,0.492,0.519,0.5,0.5,0.5,0.661
[0 0 0 0 1 1 1],0.709,0.562,0.519,0.66,0.542,0.504,0.508,1.0,0.566,0.52,0.523,0.508,0.528,0.5,0.337,0.348,0.584,0.537,0.537,0.525,0.528,0.53,0.504,0.5,0.545,0.516,0.504,0.516,0.45,0.432,0.406,0.464,0.603,0.566,0.523,0.564,0.549,0.508,0.504,0.5,0.545,0.516,0.566,0.508,0.512,0.512,0.466,0.483,0.57,0.525,0.504,0.533,0.512,0.512,0.515,0.5,0.504,0.479,0.466,0.492,0.459,0.457,0.422,0.545,0.644,0.562,0.515,0.66,0.538,0.504,0.504,0.5,0.548,0.534,0.519,0.508,0.524,0.5,0.427,0.444,0.574,0.529,0.519,0.525,0.516,0.562,0.5,0.5,0.533,0.508,0.5,0.531,0.474,0.479,0.442,0.5,0.594,0.559,0.504,0.564,0.524,0.5,0.5,0.5,0.533,0.508,0.523,0.508,0.5,0.519,0.462,0.483,0.552,0.509,0.484,0.517,0.492,0.496,0.479,0.5,0.5,0.479,0.462,0.492,0.455,0.457,0.417,0.634
[0 0 0 1 0 0 0],0.634,0.405,0.5,0.407,0.63,0.429,0.455,0.434,1.0,0.453,0.488,0.443,0.492,0.45,0.468,0.467,0.348,0.312,0.527,0.451,0.517,0.489,0.485,0.467,0.5,0.474,0.492,0.475,0.5,0.471,0.481,0.51,0.464,0.389,0.485,0.387,0.576,0.467,0.485,0.467,0.5,0.474,0.555,0.467,0.5,0.486,0.489,0.49,0.483,0.455,0.508,0.475,0.517,0.486,0.511,0.482,0.5,0.478,0.496,0.49,0.5,0.482,0.485,0.563,0.545,0.411,0.5,0.411,0.63,0.433,0.455,0.438,0.5,0.489,0.504,0.463,0.508,0.471,0.485,0.486,0.444,0.416,0.52,0.463,0.517,0.532,0.492,0.479,0.5,0.478,0.5,0.5,0.5,0.489,0.489,0.52,0.5,0.436,0.514,0.438,0.561,0.471,0.492,0.479,0.5,0.478,0.522,0.479,0.5,0.503,0.496,0.5,0.483,0.459,0.508,0.479,0.517,0.489,0.496,0.5,0.5,0.481,0.496,0.493,0.5,0.486,0.485,0.635
[0 0 0 1 0 0 1],0.686,0.517,0.575,0.476,0.694,0.484,0.504,0.48,0.547,1.0,0.52,0.472,0.528,0.484,0.496,0.492,0.547,0.517,0.411,0.305,0.538,0.508,0.496,0.476,0.528,0.5,0.504,0.484,0.517,0.484,0.488,0.518,0.574,0.517,0.575,0.472,0.553,0.429,0.441,0.421,0.528,0.5,0.568,0.476,0.517,0.5,0.496,0.496,0.543,0.517,0.504,0.468,0.534,0.5,0.519,0.488,0.525,0.5,0.504,0.496,0.513,0.492,0.488,0.571,0.618,0.517,0.571,0.476,0.691,0.484,0.5,0.48,0.513,0.5,0.5,0.455,0.508,0.467,0.475,0.476,0.543,0.517,0.481,0.416,0.534,0.549,0.5,0.484,0.525,0.5,0.508,0.507,0.513,0.5,0.492,0.525,0.57,0.517,0.564,0.48,0.566,0.467,0.483,0.468,0.525,0.5,0.531,0.484,0.513,0.515,0.5,0.504,0.54,0.517,0.5,0.468,0.53,0.5,0.5,0.504,0.521,0.5,0.5,0.496,0.508,0.492,0.483,0.645
