number_of_characters,length_of_case,absorbing_state,expected_value
2,2,[0. 0.],6
2,2,[0. 1.],4
2,2,[1. 0.],4
2,2,[1. 1.],6
2,3,[0. 0. 0.],14
2,3,[0. 0. 1.],12
2,3,[0. 1. 0.],10
2,3,[0. 1. 1.],8
2,3,[1. 0. 0.],8
2,3,[1. 0. 1.],10
2,3,[1. 1. 0.],12
2,3,[1. 1. 1.],14
2,4,[0. 0. 0. 0.],30
2,4,[0. 0. 0. 1.],28
2,4,[0. 0. 1. 0.],26
2,4,[0. 0. 1. 1.],24
2,4,[0. 1. 0. 0.],22
2,4,[0. 1. 0. 1.],20
2,4,[0. 1. 1. 0.],18
2,4,[0. 1. 1. 1.],16
2,4,[1. 0. 0. 0.],16
2,4,[1. 0. 0. 1.],18
2,4,[1. 0. 1. 0.],20
2,4,[1. 0. 1. 1.],22
2,4,[1. 1. 0. 0.],24
2,4,[1. 1. 0. 1.],26
2,4,[1. 1. 1. 0.],28
2,4,[1. 1. 1. 1.],30
2,5,[0. 0. 0. 0. 0.],62
2,5,[0. 0. 0. 0. 1.],60
2,5,[0. 0. 0. 1. 0.],58
2,5,[0. 0. 0. 1. 1.],56
2,5,[0. 0. 1. 0. 0.],54
2,5,[0. 0. 1. 0. 1.],52
2,5,[0. 0. 1. 1. 0.],50
2,5,[0. 0. 1. 1. 1.],48
2,5,[0. 1. 0. 0. 0.],46
2,5,[0. 1. 0. 0. 1.],44
2,5,[0. 1. 0. 1. 0.],42
2,5,[0. 1. 0. 1. 1.],40
2,5,[0. 1. 1. 0. 0.],38
2,5,[0. 1. 1. 0. 1.],36
2,5,[0. 1. 1. 1. 0.],34
2,5,[0. 1. 1. 1. 1.],32
2,5,[1. 0. 0. 0. 0.],32
2,5,[1. 0. 0. 0. 1.],34
2,5,[1. 0. 0. 1. 0.],36
2,5,[1. 0. 0. 1. 1.],38
2,5,[1. 0. 1. 0. 0.],40
2,5,[1. 0. 1. 0. 1.],42
2,5,[1. 0. 1. 1. 0.],44
2,5,[1. 0. 1. 1. 1.],46
2,5,[1. 1. 0. 0. 0.],48
2,5,[1. 1. 0. 0. 1.],50
2,5,[1. 1. 0. 1. 0.],52
2,5,[1. 1. 0. 1. 1.],54
2,5,[1. 1. 1. 0. 0.],56
2,5,[1. 1. 1. 0. 1.],58
2,5,[1. 1. 1. 1. 0.],60
2,5,[1. 1. 1. 1. 1.],62
2,6,[0. 0. 0. 0. 0. 0.],126
2,6,[0. 0. 0. 0. 0. 1.],124
2,6,[0. 0. 0. 0. 1. 0.],122
