number of characters,length of case,case,expected value
11,2,[0. 0.],132.0
11,2,[0. 1.],121.0
11,2,[0. 2.],121.0
11,2,[0. 3.],121.0
11,2,[0. 4.],121.0
11,2,[0. 5.],121.0
11,2,[0. 6.],121.0
11,2,[0. 7.],121.0
11,2,[0. 8.],121.0
11,2,[0. 9.],121.0
11,2,[ 0. 10.],121.0
11,2,[1. 0.],121.0
11,2,[1. 1.],132.0
11,2,[1. 2.],121.0
11,2,[1. 3.],121.0
11,2,[1. 4.],121.0
11,2,[1. 5.],121.0
11,2,[1. 6.],121.0
11,2,[1. 7.],121.0
11,2,[1. 8.],121.0
11,2,[1. 9.],121.0
11,2,[ 1. 10.],121.0
11,2,[2. 0.],121.0
11,2,[2. 1.],121.0
11,2,[2. 2.],132.0
11,2,[2. 3.],121.0
11,2,[2. 4.],121.0
11,2,[2. 5.],121.0
11,2,[2. 6.],121.0
11,2,[2. 7.],121.0
11,2,[2. 8.],121.0
11,2,[2. 9.],121.0
11,2,[ 2. 10.],121.0
11,2,[3. 0.],121.0
11,2,[3. 1.],121.0
11,2,[3. 2.],121.0
11,2,[3. 3.],132.0
11,2,[3. 4.],121.0
11,2,[3. 5.],121.0
11,2,[3. 6.],121.0
11,2,[3. 7.],121.0
11,2,[3. 8.],121.0
11,2,[3. 9.],121.0
11,2,[ 3. 10.],121.0
11,2,[4. 0.],121.0
11,2,[4. 1.],121.0
11,2,[4. 2.],121.0
11,2,[4. 3.],121.0
11,2,[4. 4.],132.0
11,2,[4. 5.],121.0
11,2,[4. 6.],121.0
11,2,[4. 7.],121.0
11,2,[4. 8.],121.0
11,2,[4. 9.],121.0
11,2,[ 4. 10.],121.0
11,2,[5. 0.],121.0
11,2,[5. 1.],121.0
11,2,[5. 2.],121.0
11,2,[5. 3.],121.0
11,2,[5. 4.],121.0
11,2,[5. 5.],132.0
11,2,[5. 6.],121.0
11,2,[5. 7.],121.0
11,2,[5. 8.],121.0
11,2,[5. 9.],121.0
11,2,[ 5. 10.],121.0
11,2,[6. 0.],121.0
11,2,[6. 1.],121.0
11,2,[6. 2.],121.0
11,2,[6. 3.],121.0
11,2,[6. 4.],121.0
11,2,[6. 5.],121.0
11,2,[6. 6.],132.0
11,2,[6. 7.],121.0
11,2,[6. 8.],121.0
11,2,[6. 9.],121.0
11,2,[ 6. 10.],121.0
11,2,[7. 0.],121.0
11,2,[7. 1.],121.0
11,2,[7. 2.],121.0
11,2,[7. 3.],121.0
11,2,[7. 4.],121.0
11,2,[7. 5.],121.0
11,2,[7. 6.],121.0
11,2,[7. 7.],132.0
11,2,[7. 8.],121.0
11,2,[7. 9.],121.0
11,2,[ 7. 10.],121.0
11,2,[8. 0.],121.0
11,2,[8. 1.],121.0
11,2,[8. 2.],121.0
11,2,[8. 3.],121.0
11,2,[8. 4.],121.0
11,2,[8. 5.],121.0
11,2,[8. 6.],121.0
11,2,[8. 7.],121.0
11,2,[8. 8.],132.0
11,2,[8. 9.],121.0
11,2,[ 8. 10.],121.0
11,2,[9. 0.],121.0
11,2,[9. 1.],121.0
11,2,[9. 2.],121.0
11,2,[9. 3.],121.0
11,2,[9. 4.],121.0
11,2,[9. 5.],121.0
11,2,[9. 6.],121.0
11,2,[9. 7.],121.0
11,2,[9. 8.],121.0
11,2,[9. 9.],132.0
11,2,[ 9. 10.],121.0
11,2,[10.  0.],121.0
11,2,[10.  1.],121.0
11,2,[10.  2.],121.0
11,2,[10.  3.],121.0
11,2,[10.  4.],121.0
11,2,[10.  5.],121.0
11,2,[10.  6.],121.0
11,2,[10.  7.],121.0
11,2,[10.  8.],121.0
11,2,[10.  9.],121.0
11,2,[10. 10.],132.0
11,3,[0. 0. 0.],1463.0
11,3,[0. 0. 1.],1342.0
